,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,1.31874335,"[9, 9, 8]",two-tone,1.31874335
1,"[9, 9, 7]",two-tone,15,10,7,0.737097863,"[9, 9, 7]",two-tone,0.737097863
2,"[9, 9, 6]",two-tone,15,10,7,0.64951411,"[9, 9, 6]",two-tone,0.64951411
3,"[9, 9, 5]",two-tone,10,7,5,0.476919743,"[9, 9, 5]",two-tone,0.476919743
4,"[9, 9, 4]",two-tone,10,7,5,0.021859423,"[9, 9, 4]",two-tone,0.021859423
5,"[9, 9, 3]",two-tone,1,1,1,-0.055212014,"[9, 9, 3]",two-tone,-0.055212014
6,"[9, 9, 2]",two-tone,2,2,2,-0.0826958,"[9, 9, 2]",two-tone,-0.0826958
7,"[9, 8, 8]",two-tone,16,11,8,1.100129487,"[9, 8, 8]",two-tone,1.100129487
8,"[9, 8, 7]",two-tone,2,2,2,0.369046666,"[9, 8, 7]",two-tone,0.369046666
9,"[9, 8, 6]",two-tone,2,2,2,0.235892582,"[9, 8, 6]",two-tone,0.235892582
10,"[9, 8, 5]",two-tone,2,2,2,0.111737661,"[9, 8, 5]",two-tone,0.111737661
11,"[9, 8, 4]",two-tone,1,1,1,0.153268999,"[9, 8, 4]",two-tone,0.153268999
12,"[9, 8, 3]",two-tone,1,1,1,0.181345157,"[9, 8, 3]",two-tone,0.181345157
13,"[9, 8, 2]",two-tone,1,1,1,0.211918616,"[9, 8, 2]",two-tone,0.211918616
14,"[9, 7, 7]",two-tone,15,10,7,0.933287266,"[9, 7, 7]",two-tone,0.933287266
15,"[9, 7, 6]",two-tone,8,6,4,0.39802693,"[9, 7, 6]",two-tone,0.39802693
16,"[9, 7, 5]",two-tone,1,1,1,0.13295747,"[9, 7, 5]",two-tone,0.13295747
17,"[9, 7, 4]",two-tone,1,1,1,-0.020376354,"[9, 7, 4]",two-tone,-0.020376354
18,"[9, 7, 3]",two-tone,1,1,1,0.001514794,"[9, 7, 3]",two-tone,0.001514794
19,"[9, 7, 2]",two-tone,1,1,1,0.015335436,"[9, 7, 2]",two-tone,0.015335436
20,"[9, 6, 6]",two-tone,15,10,7,1.182005874,"[9, 6, 6]",two-tone,1.182005874
21,"[9, 6, 5]",two-tone,1,1,1,-0.740207512,"[9, 6, 5]",two-tone,-0.740207512
22,"[9, 6, 4]",two-tone,1,1,1,0.366532676,"[9, 6, 4]",two-tone,0.366532676
23,"[9, 6, 3]",two-tone,1,1,1,0.384341416,"[9, 6, 3]",two-tone,0.384341416
24,"[9, 6, 2]",two-tone,1,1,1,0.394395013,"[9, 6, 2]",two-tone,0.394395013
25,"[9, 5, 5]",two-tone,10,7,5,1.026054636,"[9, 5, 5]",two-tone,1.026054636
26,"[9, 5, 4]",two-tone,1,1,1,0.544792991,"[9, 5, 4]",two-tone,0.544792991
27,"[9, 5, 3]",two-tone,1,1,1,0.539917364,"[9, 5, 3]",two-tone,0.539917364
28,"[9, 5, 2]",two-tone,2,2,2,0.546297341,"[9, 5, 2]",two-tone,0.546297341
29,"[9, 4, 4]",two-tone,10,7,5,0.384206237,"[9, 4, 4]",two-tone,0.384206237
30,"[9, 4, 3]",two-tone,1,1,1,-0.064245994,"[9, 4, 3]",two-tone,-0.064245994
31,"[9, 4, 2]",two-tone,2,2,2,-0.079286354,"[9, 4, 2]",two-tone,-0.079286354
32,"[9, 3, 3]",two-tone,2,2,2,0.211112777,"[9, 3, 3]",two-tone,0.211112777
33,"[9, 3, 2]",two-tone,1,1,1,-0.106663517,"[9, 3, 2]",two-tone,-0.106663517
34,"[9, 2, 2]",two-tone,1,1,1,0.165522051,"[9, 2, 2]",two-tone,0.165522051
35,"[8, 8, 7]",two-tone,16,11,8,0.192426835,"[8, 8, 7]",two-tone,0.192426835
36,"[8, 8, 6]",two-tone,16,11,8,0.392171143,"[8, 8, 6]",two-tone,0.392171143
37,"[8, 8, 5]",two-tone,1,1,1,-0.3327768,"[8, 8, 5]",two-tone,-0.3327768
38,"[8, 8, 4]",two-tone,1,1,1,-0.360296,"[8, 8, 4]",two-tone,-0.360296
39,"[8, 8, 3]",two-tone,1,1,1,-0.398684963,"[8, 8, 3]",two-tone,-0.398684963
40,"[8, 8, 2]",two-tone,2,2,2,-0.412554647,"[8, 8, 2]",two-tone,-0.412554647
41,"[8, 7, 7]",two-tone,16,11,8,0.502488879,"[8, 7, 7]",two-tone,0.502488879
42,"[8, 7, 6]",two-tone,1,1,1,0.134321857,"[8, 7, 6]",two-tone,0.134321857
43,"[8, 7, 5]",two-tone,1,1,1,-0.68065161,"[8, 7, 5]",two-tone,-0.68065161
44,"[8, 7, 4]",two-tone,1,1,1,-0.640571643,"[8, 7, 4]",two-tone,-0.640571643
45,"[8, 7, 3]",two-tone,1,1,1,-0.393214703,"[8, 7, 3]",two-tone,-0.393214703
46,"[8, 7, 2]",two-tone,1,1,1,-0.369070131,"[8, 7, 2]",two-tone,-0.369070131
47,"[8, 6, 6]",two-tone,16,11,8,0.550052674,"[8, 6, 6]",two-tone,0.550052674
48,"[8, 6, 5]",two-tone,1,1,1,-0.294094287,"[8, 6, 5]",two-tone,-0.294094287
49,"[8, 6, 4]",two-tone,1,1,1,-0.223788517,"[8, 6, 4]",two-tone,-0.223788517
50,"[8, 6, 3]",two-tone,1,1,1,-0.299079264,"[8, 6, 3]",two-tone,-0.299079264
51,"[8, 6, 2]",two-tone,1,1,1,-0.276837382,"[8, 6, 2]",two-tone,-0.276837382
52,"[8, 5, 5]",two-tone,10,7,5,0.277312398,"[8, 5, 5]",two-tone,0.277312398
53,"[8, 5, 4]",two-tone,1,1,1,-0.210360495,"[8, 5, 4]",two-tone,-0.210360495
54,"[8, 5, 3]",two-tone,1,1,1,-0.365617493,"[8, 5, 3]",two-tone,-0.365617493
55,"[8, 5, 2]",two-tone,1,1,1,-0.347445448,"[8, 5, 2]",two-tone,-0.347445448
56,"[8, 4, 4]",two-tone,1,1,1,0.0487495,"[8, 4, 4]",two-tone,0.0487495
57,"[8, 4, 3]",two-tone,1,1,1,-0.399849619,"[8, 4, 3]",two-tone,-0.399849619
